state,state_full,reg slope,reg int,R,R2,pattern,indicator
IL,Illinois,-0.9035581772038387,14.957180389508219,-0.9775545335240566,0.955612866013436,primate,
BOL,,-1.0181784994358043,13.949869457907655,-0.9083976329640749,0.8251862595747342,binary,
BRA,,-0.8121718699311918,15.829136393408662,-0.997701779280241,0.9954088403789586,binary,
CAN,,-0.7500515016436988,14.335433416261898,-0.9617915794823204,0.9250430423630966,log-normal,
CHL,,-0.8835318766859175,14.15346223542076,-0.9018638164426288,0.8133583434084637,primate,
