state,reg slope,reg int,R,R2,pattern,indicator
DOM,-1.3319988019202946,7.60744086572198,-0.960516608125556,0.9225921544850229,primate,0.776
ECU,-1.1730292785149457,7.9344107881710055,-0.978955283047225,0.9583534462060724,binary,0.777
EGY,-1.0225864924029997,9.473481870725942,-0.9934517433621487,0.9869463663892926,primate,0.754
SLV,-1.2347771278600441,6.792104921598284,-0.9555771609053809,0.9131277104439882,primate,0.678
ERI,-0.8919285575487497,6.108530583906952,-0.9722389401125838,0.9452485566712404,log-normal,0.503
ETH,-0.6022350278236059,7.300057293593353,-0.9826113123657183,0.9655249911890792,primate,0.497
FRA,-0.9814999919316167,8.218541795772119,-0.9869481091950111,0.9740665702436075,primate,0.92
DEU,-1.0661706809329565,8.871793319801233,-0.9928375865319248,0.9857264732305372,log-normal,0.959
GHA,-0.9907788074038971,7.81884603873058,-0.9538344391293414,0.9098001372691853,binary,0.628
GRC,-1.798243254970194,7.735055954631642,-0.966688409539096,0.9344864811372269,primate,0.908
GTM,-0.8055769437447776,6.635757940297335,-0.9151454407872516,0.837491177793693,primate,0.662
GIN,-1.045126536894774,7.065871065665648,-0.9607396358560032,0.9230206479047256,primate,0.5
HTI,-1.0552958921344326,7.046388383289219,-0.97671702708459,0.9539761509969596,primate,0.554
HND,-1.289406838971607,7.295178312821946,-0.9616038389501435,0.9246819430836535,binary,0.645
HUN,-1.0228093229945283,6.406492429344665,-0.8863708119331125,0.7856532162469652,primate,0.87
IND,-0.9110804094904692,10.918401250712169,-0.9993940377917293,0.9987884427736564,log-normal,0.685
IDN,-1.0034478003168505,9.956916166689119,-0.9979824521791664,0.9959689748575421,primate,0.728
IRN,-0.9187940472126653,8.891345073687738,-0.9981457267397964,0.9962948918089163,log-normal,0.799
IRQ,-1.1497081365073032,9.138952630540548,-0.9852149109808395,0.9706484208189834,primate,0.695
ISR,-1.2284912130161327,7.692785281345821,-0.983648502869815,0.9675643771980285,primate,0.919
ITA,-0.9195030973957036,8.035801047917792,-0.9894446188063261,0.9790006536847958,log-normal,0.915
JPN,-1.139657031434939,9.568774311166667,-0.9916777532267964,0.9834247662449469,primate,0.925
JOR,-1.4646400561710269,7.659801646270072,-0.9222647682349848,0.8505723027275303,primate,0.754
KAZ,-1.0621528236860363,7.8360500308836665,-0.9801605086915601,0.960714622798498,log-normal,0.837
KEN,-1.0005841444497368,7.754839990179189,-0.9786625551063739,0.9577803967673363,primate,0.628
KGZ,-1.2402682083936434,6.752369988093463,-0.9416438842193544,0.886693204687713,primate,0.72
LBN,-1.4224606211760238,7.1371559836347895,-0.9766070283136763,0.9537612877516697,primate,0.752
LBR,-1.2622499580839777,6.417911556085136,-0.822153056913451,0.6759356489921322,primate,0.51
LBY,-1.1078253892450576,7.001039371604558,-0.9797634814361744,0.9599364795559329,binary,0.721
MDG,-1.0713011863035247,7.103940129435637,-0.9436312516993884,0.8904399391837545,primate,0.487
MWI,-1.5898124387941706,7.213007351427877,-0.9575015530922312,0.9168092241740348,binary,0.517
MYS,-1.2124189007456034,8.696015433221131,-0.9799579944701002,0.960317670925861,primate,0.819
MLI,-1.2496750866199928,7.471918543891428,-0.9620939576275361,0.9256247833034152,primate,0.419
MEX,-1.0693286880181525,9.599134825871008,-0.9918590550175511,0.9837843850203095,primate,0.789
MAR,-1.0641675885318276,8.409771163496089,-0.9938001696948209,0.9876387772854548,primate,0.71
MOZ,-0.9840653259495991,7.61520444560982,-0.992187896371232,0.9844368217055705,primate,0.493
MMR,-0.6751718800107894,7.241754066426611,-0.9629659274039097,0.927303377340872,primate,0.609
NPL,-1.1529966785770693,7.271949321108595,-0.9606517748442529,0.9228518325114132,primate,0.622
NLD,-0.8808439997190186,7.405985679462397,-0.9822482634987976,0.9648116511464032,log-normal,0.955
NZL,-1.229416879149219,6.859561794647764,-0.9761614914955531,0.9528912574788228,primate,0.938
NIC,-0.9940269431142857,6.452053124145043,-0.9097473368076974,0.8276402168286979,primate,0.706
NER,-0.9273452051963607,7.22688822918464,-0.9927499687245709,0.9855525004026364,log-normal,0.419
NGA,-0.9071286918233159,9.530184599423755,-0.9992237361132517,0.9984480748121252,primate,0.56
NOR,-1.2943710348039585,6.487597854381784,-0.9646241163265634,0.9304996857988034,primate,0.97
OMN,-1.1523419846410041,6.801303810579354,-0.975582360949239,0.9517609429952912,binary,0.858
PAK,-0.9911304480551265,9.724470592429904,-0.996057072694742,0.9921296920652185,binary,0.544
PNG,-0.7395579837250601,5.74343190448031,-0.9609074772786756,0.9233431798900685,primate,0.576
PRY,-1.2839057115869525,6.890079382136829,-0.968858614325296,0.9386870145523326,primate,0.756
PER,-1.2035022605240893,8.474943261011877,-0.9805033113754283,0.9613867436181802,primate,0.794
PHL,-1.0015433804338425,8.707090086404115,-0.9869838601287428,0.9741371401546338,primate,0.72
POL,-0.9467047704706233,7.69038727516677,-0.9925894360234033,0.9852337885052579,primate,0.906
PRT,-1.5646641367671879,7.51188226457508,-0.9677739167822021,0.9365863540039647,binary,0.89
KOR,-1.430779076777917,9.423599547843551,-0.9946446381851846,0.9893179562705368,primate,0.937
ROU,-0.8559576809837356,7.010016012657295,-0.9654212198213176,0.9320381316812808,primate,0.845
RUS,-0.918217869748918,9.103162586227834,-0.9886966125289206,0.9775209916261626,primate,0.832
SAU,-1.3939863303295212,9.139161821009,-0.9955027608708841,0.9910257469015527,binary,0.9
SEN,-1.2521790204563854,8.013220487576866,-0.9903462372650587,0.9807856696650599,primate,0.53
SRB,-1.097574327610127,6.539458135928628,-0.9608824647257618,0.9232951110174549,primate,0.833
SLE,-1.3463837897188986,7.156280707995576,-0.9771368273888636,0.954796379439574,primate,0.467
SVK,-0.9690550185500176,5.700666890561306,-0.9494238413368323,0.9014056304987865,binary,0.88
SOM,-0.9841361938537765,7.7642563599111165,-0.9869048082955404,0.9739811006368573,primate,0.404
ZAF,-1.0920336670663136,8.874932863542268,-0.9944043532141277,0.9888400176912076,log-normal,0.741
SSD,-0.8463726824661657,6.786554963233966,-0.9775494171308157,0.9556028629327975,log-normal,0.388
ESP,-0.9860092647623926,8.398043268551742,-0.9898484504814271,0.9797999549204822,binary,0.918
LKA,-1.2192478786421759,7.563198619579989,-0.961235913859753,0.9239744820937946,primate,0.776
PSE,-1.4797152163881142,7.670767682375583,-0.9548544715841175,0.9117470619041843,binary,0.674
